Style #,Customer,Order #,Roll #,Vendor Roll #,Qty (yds),Qty (lbs),Good Ea.,Bad Ea.,Processor,Received
C1B4571-1/0,CTIC - CREATIVE TICKING,D69701,6970104,6970104,42.0,59.2,0,0,Altus - Plant 3,2025-08-30 12:15:07
C1B4571-1/0,CTIC - CREATIVE TICKING,D69701,6970103,6970103,42.0,59.0,0,0,Altus - Plant 3,2025-08-30 12:15:07
C1B4571-1/0,CTIC - CREATIVE TICKING,D69701,6970102,6970102,42.0,58.9,0,0,Altus - Plant 3,2025-08-30 12:15:07
C1B4571-1/0,CTIC - CREATIVE TICKING,D69701,6970101,6970101,42.0,60.0,0,0,Altus - Plant 3,2025-08-30 12:15:07
C1B4612-1/1,CTIC - CREATIVE TICKING,D69690,6969014,6969014,81.0,67.0,0,0,Altus - Plant 3,2025-08-30 12:15:05
C1B4612-1/1,CTIC - CREATIVE TICKING,D69690,6969009,6969009,80.0,66.0,0,0,Altus - Plant 3,2025-08-30 12:15:05
C1B4612-1/1,CTIC - CREATIVE TICKING,D69690,6969004,6969004,71.6,59.6,0,0,Altus - Plant 3,2025-08-30 12:15:05
C1B4612-1/1,CTIC - CREATIVE TICKING,D69690,6969002,6969002,71.0,60.0,0,0,Altus - Plant 3,2025-08-30 12:15:05
C1B4612-1/1,CTIC - CREATIVE TICKING,D69690,6969007,6969007,71.0,59.6,0,0,Altus - Plant 3,2025-08-30 12:15:05
C1B4612-1/1,CTIC - CREATIVE TICKING,D69690,6969003,6969003,71.0,59.6,0,0,Altus - Plant 3,2025-08-30 12:15:05
C1B4612-1/1,CTIC - CREATIVE TICKING,D69690,6969010,6969010,81.0,66.7,0,0,Altus - Plant 3,2025-08-30 12:15:05
C1B4612-1/1,CTIC - CREATIVE TICKING,D69690,6969005,6969005,71.0,60.0,0,0,Altus - Plant 3,2025-08-30 12:15:05
C1B4612-1/1,CTIC - CREATIVE TICKING,D69690,6969008,6969008,71.0,59.0,0,0,Altus - Plant 3,2025-08-30 12:15:05
C1B4612-1/1,CTIC - CREATIVE TICKING,D69690,6969006,6969006,71.0,59.0,0,0,Altus - Plant 3,2025-08-30 12:15:05
C1B4612-1/1,CTIC - CREATIVE TICKING,D69690,6969011,6969011,72.0,59.6,0,0,Altus - Plant 3,2025-08-30 12:15:05
C1B4612-1/1,CTIC - CREATIVE TICKING,D69690,6969012,6969012,80.0,66.5,0,0,Altus - Plant 3,2025-08-30 12:15:05
C1B4612-1/1,CTIC - CREATIVE TICKING,D69690,6969013,6969013,81.0,67.0,0,0,Altus - Plant 3,2025-08-30 12:15:05
C1B4612-1/1,CTIC - CREATIVE TICKING,D69690,6969016,6969016,70.0,57.0,0,0,Altus - Plant 3,2025-08-30 12:15:05
C1B4612-1/1,CTIC - CREATIVE TICKING,D69690,6969015,6969015,81.0,67.8,0,0,Altus - Plant 3,2025-08-30 12:15:05
C1B4612-1/1,CTIC - CREATIVE TICKING,D69690,6969001,6969001,61.6,52.0,0,0,Altus - Plant 3,2025-08-30 12:15:05
C1B4613-1/0,CTIC - CREATIVE TICKING,D69692,6969202,6969202,70.0,64.0,0,0,Altus - Plant 3,2025-08-30 12:15:05
C1B4613-1/0,CTIC - CREATIVE TICKING,D69692,6969209,6969209,70.0,64.0,0,0,Altus - Plant 3,2025-08-30 12:15:05
C1B4613-1/0,CTIC - CREATIVE TICKING,D69692,6969205,6969205,70.0,64.0,0,0,Altus - Plant 3,2025-08-30 12:15:05
C1B4613-1/0,CTIC - CREATIVE TICKING,D69692,6969201,6969201,70.0,65.0,0,0,Altus - Plant 3,2025-08-30 12:15:05
C1B4613-1/0,CTIC - CREATIVE TICKING,D69692,6969211,6969211,69.7,63.0,0,0,Altus - Plant 3,2025-08-30 12:15:05
C1B4613-1/0,CTIC - CREATIVE TICKING,D69692,6969204,6969204,72.0,66.0,0,0,Altus - Plant 3,2025-08-30 12:15:05
C1B4613-1/0,CTIC - CREATIVE TICKING,D69692,6969206,6969206,71.7,65.0,0,0,Altus - Plant 3,2025-08-30 12:15:05
C1B4613-1/0,CTIC - CREATIVE TICKING,D69692,6969210,6969210,71.0,64.0,0,0,Altus - Plant 3,2025-08-30 12:15:05
C1B4613-1/0,CTIC - CREATIVE TICKING,D69692,6969207,6969207,70.5,63.0,0,0,Altus - Plant 3,2025-08-30 12:15:05
C1B4613-1/0,CTIC - CREATIVE TICKING,D69692,6969208,6969208,70.0,64.0,0,0,Altus - Plant 3,2025-08-30 12:15:05
C1B4613-1/0,CTIC - CREATIVE TICKING,D69692,6969212,6969212,34.0,30.0,0,0,Altus - Plant 3,2025-08-30 12:15:05
C1B4613-1/0,CTIC - CREATIVE TICKING,D69692,6969203,6969203,70.0,63.8,0,0,Altus - Plant 3,2025-08-30 12:15:05
CEE2838-1/0,CTIC - CREATIVE TICKING,D69573,6957302,6957302,24.0,0.0,9,1,Altus - Plant 3,2025-08-22 15:45:05
CEE4078-2/0,CTIC - CREATIVE TICKING,D69681,6968110,6968110,27.8,52.3,0,0,Altus - Plant 3,2025-08-29 15:55:05
