Style,Yarn,Percentage,This Week,Week 37,Week 38,Week 39,Week 40,Week 41,Week 42,Week 43,Week 44,Later,Total
CEE2838/1IN ,18233,6.3,166.446509189616,203.434622342864,203.434622342864,203.190746124656,,,,,,,776.5065
CEE2838/1IN ,18438,28.0,739.76226306496,904.153877079396,904.153877079396,903.069982776248,,,,,,,3451.14
CEE2838/1IN ,18646,6.3,166.446509189616,203.434622342864,203.434622342864,203.190746124656,,,,,,,776.5065
CEE2838/1IN ,18737,10.2,269.484824402236,329.370340936066,329.370340936066,328.975493725633,,,,,,,1257.201
CEE2838/1IN ,18763,24.2,639.365955934716,781.447279475763,781.447279475763,780.510485113757,,,,,,,2982.771
CEE2838/1IN ,18904,12.3,324.966994132108,397.18188171702,397.18188171702,396.705742433852,,,,,,,1516.0365
CEE2838/1IN ,18929,0.6,15.8520484942491,19.3747259374156,19.3747259374156,19.3514996309196,,,,,,,73.953
CEE2839/1CL,12526,12.1,419.751229354835,513.029280322576,219.03059032259,,,,,,,,1151.8111
CEE2839/1CL,18233,6.3,218.548160738468,267.114418680349,114.040720581183,,,,,,,,599.7033
CEE2839/1CL,18438,28.0,971.325158837634,1187.17519413489,506.847647027481,,,,,,,,2665.348
CEE2839/1CL,18646,6.3,218.548160738468,267.114418680349,114.040720581183,,,,,,,,599.7033
CEE2839/1CL,18737,10.2,353.839879290852,432.470963577708,184.637357131439,,,,,,,,970.9482
CEE2839/1CL,18763,24.2,839.502458709669,1026.05856064515,438.06118064518,,,,,,,,2303.6222
CEE2839/1CL,18904,12.3,426.689266203675,521.509103137825,222.6509306585,,,,,,,,1170.8493
CEE2839/1CL,18929,0.6,20.8141105465207,25.4394684457476,10.8610210077317,,,,,,,,57.1146
CEE2840/1ICG,12526,11.3,308.857712823821,319.309287176179,,,,,,,,,628.167
CEE2840/1ICG,18233,6.0,163.995245747161,169.544754252839,,,,,,,,,333.54
CEE2840/1ICG,18438,30.3,828.175991023165,856.201008976835,,,,,,,,,1684.377
CEE2840/1ICG,18646,5.9,161.261991651375,166.719008348625,,,,,,,,,327.981
CEE2840/1ICG,18737,11.3,308.857712823821,319.309287176179,,,,,,,,,628.167
CEE2840/1ICG,18763,23.7,647.781220701287,669.701779298713,,,,,,,,,1317.483
CEE2840/1ICG,18904,10.9,297.924696440676,308.006303559324,,,,,,,,,605.931
CEE2840/1ICG,18929,0.6,16.3995245747161,16.9544754252839,,,,,,,,,33.354
CEE2841/1D,12526,12.1,331.823502051465,61.426497948535,,,,,,,,,393.25
CEE2841/1D,18233,6.3,172.767608506135,31.9823914938653,,,,,,,,,204.75
CEE2841/1D,18375,28.0,767.856037805043,142.143962194957,,,,,,,,,910.0
