Style,KO,Yarn,Percentage,This Week,Week 36,Week 37,Week 38,Week 39,Week 40,Week 41,Week 42,Week 43,Later,Total
CEE2837/1CL,K2508029,12526,11.7,152.0,82.0,,,,,,,,,234.0
CEE2837/1CL,K2508029,18233,6.2,80.5,43.5,,,,,,,,,124.0
CEE2837/1CL,K2508029,18375,30.1,390.9,211.1,,,,,,,,,602.0
CEE2837/1CL,K2508029,18646,6.2,80.5,43.5,,,,,,,,,124.0
CEE2837/1CL,K2508029,18737,9.9,128.6,69.4,,,,,,,,,198.0
CEE2837/1CL,K2508029,18763,23.4,303.9,164.1,,,,,,,,,468.0
CEE2837/1CL,K2508029,18904,11.9,154.6,83.4,,,,,,,,,238.0
CEE2837/1CL,K2508029,18929,0.6,7.8,4.2,,,,,,,,,12.0
CEE2838/1IN,K2508027,12526,12.1,177.6,390.7,390.7,390.7,181.2,,,,,,"1,531.0"
CEE2838/1IN,K2508027,18233,6.3,92.5,203.4,203.4,203.4,94.3,,,,,,797.1
CEE2838/1IN,K2508027,18438,28,411.0,904.2,904.2,904.2,419.3,,,,,,"3,542.7"
CEE2838/1IN,K2508027,18646,6.3,92.5,203.4,203.4,203.4,94.3,,,,,,797.1
CEE2838/1IN,K2508027,18737,10.2,149.7,329.4,329.4,329.4,152.7,,,,,,"1,290.6"
CEE2838/1IN,K2508027,18763,24.2,355.2,781.4,781.4,781.4,362.4,,,,,,"3,061.9"
CEE2838/1IN,K2508027,18904,12.3,180.5,397.2,397.2,397.2,184.2,,,,,,"1,556.3"
CEE2838/1IN,K2508027,18929,0.6,8.8,19.4,19.4,19.4,9.0,,,,,,75.9
CEE2839/1CL,K2508028,12526,12.1,233.2,513.0,465.5,,,,,,,,"1,211.7"
CEE2839/1CL,K2508028,18233,6.3,121.4,267.1,242.4,,,,,,,,630.9
CEE2839/1CL,K2508028,18438,28,539.6,"1,187.2","1,077.1",,,,,,,,"2,803.9"
CEE2839/1CL,K2508028,18646,6.3,121.4,267.1,242.4,,,,,,,,630.9
CEE2839/1CL,K2508028,18737,10.2,196.6,432.5,392.4,,,,,,,,"1,021.4"
CEE2839/1CL,K2508028,18763,24.2,466.4,"1,026.1",931.0,,,,,,,,"2,423.4"
CEE2839/1CL,K2508028,18904,12.3,237.0,521.5,473.2,,,,,,,,"1,231.7"
CEE2839/1CL,K2508028,18929,0.6,11.6,25.4,23.1,,,,,,,,60.1
CEE2840/1ICG,K2508026,12526,11.3,171.6,377.5,134.6,,,,,,,,683.7
CEE2840/1ICG,K2508026,18233,6,91.1,200.4,71.5,,,,,,,,363.0
CEE2840/1ICG,K2508026,18438,30.3,460.1,"1,012.2",360.8,,,,,,,,"1,833.2"
CEE2840/1ICG,K2508026,18646,5.9,89.6,197.1,70.3,,,,,,,,357.0
CEE2840/1ICG,K2508026,18737,11.3,171.6,377.5,134.6,,,,,,,,683.7
CEE2840/1ICG,K2508026,18763,23.7,359.9,791.7,282.2,,,,,,,,"1,433.9"
CEE2840/1ICG,K2508026,18904,10.9,165.5,364.1,129.8,,,,,,,,659.5
CEE2840/1ICG,K2508026,18929,0.6,9.1,20.0,7.1,,,,,,,,36.3
CEE2841/1D,K2508025,12526,12.1,184.3,208.9,,,,,,,,,393.3
CEE2841/1D,K2508025,18233,6.3,96.0,108.8,,,,,,,,,204.8
CEE2841/1D,K2508025,18375,28,426.6,483.4,,,,,,,,,910.0
CEE2841/1D,K2508025,18646,6.3,96.0,108.8,,,,,,,,,204.8
CEE2841/1D,K2508025,18737,10.2,155.4,176.1,,,,,,,,,331.5
CEE2841/1D,K2508025,18763,24.2,368.7,417.8,,,,,,,,,786.5
CEE2841/1D,K2508025,18904,12.3,187.4,212.4,,,,,,,,,399.8
CEE2841/1D,K2508025,18929,0.6,9.1,10.4,,,,,,,,,19.5
CEE3050/1CU,K2508089,12526,11.7,115.8,254.8,254.8,254.8,254.8,254.8,254.8,227.5,,,"1,872.0"
CEE3050/1CU,K2508089,18233,6.2,61.4,135.0,135.0,135.0,135.0,135.0,135.0,120.6,,,992.0
CEE3050/1CU,K2508089,18438,27.4,271.2,596.7,596.7,596.7,596.7,596.7,596.7,532.9,,,"4,384.0"
CEE3050/1CU,K2508089,18646,6.2,61.4,135.0,135.0,135.0,135.0,135.0,135.0,120.6,,,992.0
CEE3050/1CU,K2508089,18737,10.1,100.0,219.9,219.9,219.9,219.9,219.9,219.9,196.4,,,"1,616.0"
CEE3050/1CU,K2508089,18763,25.8,255.4,561.8,561.8,561.8,561.8,561.8,561.8,501.8,,,"4,128.0"
CEE3050/1CU,K2508089,18904,12,118.8,261.3,261.3,261.3,261.3,261.3,261.3,233.4,,,"1,920.0"
CEE3050/1CU,K2508089,18929,0.6,5.9,13.1,13.1,13.1,13.1,13.1,13.1,11.7,,,96.0
CEE3267/3CEL,K2508074,18307,10.1,65.8,,,,,,,,,,65.8
CEE3267/3CEL,K2508074,18358,12,78.2,,,,,,,,,,78.2
CEE3267/3CEL,K2508074,18430,25.2,164.2,,,,,,,,,,164.2
CEE3267/3CEL,K2508074,18605,10.3,67.1,,,,,,,,,,67.1
CEE3267/3CEL,K2508074,18763,42.4,276.2,,,,,,,,,,276.2
CEE3466/1L,K2508056,18307,8.8,89.7,197.4,174.9,,,,,,,,462.0
CEE3466/1L,K2508056,18594,30.5,311.0,684.2,606.1,,,,,,,,"1,601.3"
CEE3466/1L,K2508056,18646,10.9,111.1,244.5,216.6,,,,,,,,572.3
CEE3466/1L,K2508056,18763,39,397.7,874.9,775.0,,,,,,,,"2,047.5"
CEE3466/1L,K2508056,18894,10.1,103.0,226.6,200.7,,,,,,,,530.3
CEE3466/1L,K2508056,18929,0.7,7.1,15.7,13.9,,,,,,,,36.8
CEE4078/2A,K2505010,12526,11.6,97.5,152.6,,,,,,,,,250.1
CEE4078/2A,K2505010,18208,10.1,84.9,132.8,,,,,,,,,217.7
CEE4078/2A,K2505010,18594,38.5,323.6,506.3,,,,,,,,,829.9
CEE4078/2A,K2505010,18646,10.7,89.9,140.7,,,,,,,,,230.7
CEE4078/2A,K2505010,18763,23.1,194.2,303.8,,,,,,,,,498.0
CEE4078/2A,K2505010,18929,0.7,5.9,9.2,,,,,,,,,15.1
CEE4078/2A,K2505010,19003,5.3,44.5,69.7,,,,,,,,,114.3
CEE4078/2A,K2508009,12526,11.6,97.5,214.5,214.5,49.8,,,,,,,576.3
