Style #,Customer,Order #,Roll #,Vendor Roll #,Qty (yds),Qty (lbs),Good Ea.,Bad Ea.,Processor,Received
CT2155-1/0,"CFAB - CREATIVE FABRIC SERVICE, LLC",D69639,006963903,6963903,173.0,53.6,0,0,Altus - Plant 3,8/28/2025
CT2155-1/0,"CFAB - CREATIVE FABRIC SERVICE, LLC",D69639,006963905,6963905,173.0,54.2,0,0,Altus - Plant 3,8/28/2025
CT2155-1/0,"CFAB - CREATIVE FABRIC SERVICE, LLC",D69639,006963906,6963906,150.0,47.4,0,0,Altus - Plant 3,8/28/2025
CT2155-1/0,"CFAB - CREATIVE FABRIC SERVICE, LLC",D69640,006964002,6964002,166.0,52.6,0,0,Altus - Plant 3,8/28/2025
CT2155-1/0,"CFAB - CREATIVE FABRIC SERVICE, LLC",D69639,006963902,6963902,173.0,53.6,0,0,Altus - Plant 3,8/28/2025
CT2155-1/0,"CFAB - CREATIVE FABRIC SERVICE, LLC",D69639,006963904,6963904,171.0,53.4,0,0,Altus - Plant 3,8/28/2025
CT2155-1/0,"CFAB - CREATIVE FABRIC SERVICE, LLC",D69569,006956909,6956909,164.0,52.4,0,0,Altus - Plant 3,8/28/2025
CT2155-1/0,"CFAB - CREATIVE FABRIC SERVICE, LLC",D69569,006956903,6956903,156.0,49.4,0,0,Altus - Plant 3,8/28/2025
CT2155-1/0,"CFAB - CREATIVE FABRIC SERVICE, LLC",D69569,006956911,6956911,164.0,52.4,0,0,Altus - Plant 3,8/28/2025
CT2155-1/0,"CFAB - CREATIVE FABRIC SERVICE, LLC",D69551,006955109,6955109,164.0,52.4,0,0,Altus - Plant 3,8/28/2025
CT2155-1/0,"CFAB - CREATIVE FABRIC SERVICE, LLC",D69569,006956906,6956906,163.0,51.8,0,0,Altus - Plant 3,8/28/2025
CT2155-1/0,"CFAB - CREATIVE FABRIC SERVICE, LLC",D69569,006956910,6956910,164.0,52.4,0,0,Altus - Plant 3,8/28/2025
CT2155-1/0,"CFAB - CREATIVE FABRIC SERVICE, LLC",D69569,006956908,6956908,164.0,52.4,0,0,Altus - Plant 3,8/28/2025
CT2155-1/0,"CFAB - CREATIVE FABRIC SERVICE, LLC",D69551,006955108,6955108,163.0,51.8,0,0,Altus - Plant 3,8/28/2025
CT2155-1/0,"CFAB - CREATIVE FABRIC SERVICE, LLC",D69569,006956902,6956902,117.0,37.2,0,0,Altus - Plant 3,8/28/2025
CT2155-1/0,"CFAB - CREATIVE FABRIC SERVICE, LLC",D69551,006955107,6955107,164.0,52.4,0,0,Altus - Plant 3,8/28/2025
CT2155-1/0,"CFAB - CREATIVE FABRIC SERVICE, LLC",D69569,006956905,6956905,167.0,53.2,0,0,Altus - Plant 3,8/28/2025
CT2155-1/0,"CFAB - CREATIVE FABRIC SERVICE, LLC",D69569,006956901,6956901,162.0,51.8,0,0,Altus - Plant 3,8/28/2025
CT2155-1/0,"CFAB - CREATIVE FABRIC SERVICE, LLC",D69551,006955106,6955106,157.0,50.2,0,0,Altus - Plant 3,8/28/2025
CT2155-1/0,"CFAB - CREATIVE FABRIC SERVICE, LLC",D69551,006955111,6955111,164.0,52.4,0,0,Altus - Plant 3,8/28/2025
CT2155-1/0,"CFAB - CREATIVE FABRIC SERVICE, LLC",D69551,006955105,6955105,164.0,52.4,0,0,Altus - Plant 3,8/28/2025
CT2155-1/0,"CFAB - CREATIVE FABRIC SERVICE, LLC",D69551,006955104,6955104,164.0,52.4,0,0,Altus - Plant 3,8/28/2025
CT2155-1/0,"CFAB - CREATIVE FABRIC SERVICE, LLC",D69551,006955102,6955102,162.0,52.0,0,0,Altus - Plant 3,8/28/2025
CT2155-1/0,"CFAB - CREATIVE FABRIC SERVICE, LLC",D69551,006955110,6955110,163.0,52.2,0,0,Altus - Plant 3,8/28/2025
